[2025-12-17 03:54:29] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:30] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:30] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:31] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:31] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:32] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:32] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:33] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:33] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:34] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:34] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:35] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:35] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:37] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:37] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:38] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:38] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:39] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:39] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:40] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:40] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:41] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
